"","Country.Region","Province.State","Confirmed","Recovered","Deaths","Date"
"393","United Kingdom","Gibraltar",141,131,0,2020-04-26
"394","United Kingdom","Isle of Man",308,247,18,2020-04-26
"395","United Kingdom","Montserrat",11,2,1,2020-04-26
"396","United Kingdom","Turks and Caicos Islands",11,4,1,2020-04-26
"397","Germany","",157770,112000,5976,2020-04-26
"398","Italy","",197675,64928,26644,2020-04-26
"399","Switzerland","",29061,21800,1610,2020-04-26
"400","United Kingdom","",152840,0,20732,2020-04-26
"401","United Kingdom","Anguilla",3,3,0,2020-04-27
"402","United Kingdom","Bermuda",110,44,6,2020-04-27
"403","United Kingdom","British Virgin Islands",6,3,1,2020-04-27
"404","United Kingdom","Cayman Islands",70,8,1,2020-04-27
"405","United Kingdom","Channel Islands",525,352,35,2020-04-27
"406","United Kingdom","Falkland Islands (Malvinas)",13,11,0,2020-04-27
"407","United Kingdom","Gibraltar",141,131,0,2020-04-27
"408","United Kingdom","Isle of Man",308,248,20,2020-04-27
"409","United Kingdom","Montserrat",11,2,1,2020-04-27
"410","United Kingdom","Turks and Caicos Islands",12,5,1,2020-04-27
"411","Germany","",158758,114500,6126,2020-04-27
"412","Italy","",199414,66624,26977,2020-04-27
"413","Switzerland","",29164,22200,1665,2020-04-27
"414","United Kingdom","",157149,0,21092,2020-04-27
"415","United Kingdom","Anguilla",3,3,0,2020-04-28
"416","United Kingdom","Bermuda",110,44,6,2020-04-28
"417","United Kingdom","British Virgin Islands",6,3,1,2020-04-28
"418","United Kingdom","Cayman Islands",70,10,1,2020-04-28
"419","United Kingdom","Channel Islands",530,352,36,2020-04-28
"420","United Kingdom","Falkland Islands (Malvinas)",13,11,0,2020-04-28
"421","United Kingdom","Gibraltar",141,131,0,2020-04-28
"422","United Kingdom","Isle of Man",309,252,21,2020-04-28
"423","United Kingdom","Montserrat",11,2,1,2020-04-28
"424","United Kingdom","Turks and Caicos Islands",12,5,1,2020-04-28
"425","Germany","",159912,117400,6314,2020-04-28
"426","Italy","",201505,68941,27359,2020-04-28
"427","Switzerland","",29264,22600,1699,2020-04-28
"428","United Kingdom","",161145,0,21678,2020-04-28
"429","United Kingdom","Anguilla",3,3,0,2020-04-29
"430","United Kingdom","Bermuda",111,48,6,2020-04-29
"431","United Kingdom","British Virgin Islands",6,3,1,2020-04-29
"432","United Kingdom","Cayman Islands",73,10,1,2020-04-29
"433","United Kingdom","Channel Islands",537,386,38,2020-04-29
"434","United Kingdom","Falkland Islands (Malvinas)",13,11,0,2020-04-29
"435","United Kingdom","Gibraltar",141,131,0,2020-04-29
"436","United Kingdom","Isle of Man",313,258,21,2020-04-29
"437","United Kingdom","Montserrat",11,2,1,2020-04-29
"438","United Kingdom","Turks and Caicos Islands",12,5,1,2020-04-29
"439","Germany","",161539,120400,6467,2020-04-29
"440","Italy","",203591,71252,27682,2020-04-29
"441","Switzerland","",29407,22600,1716,2020-04-29
"442","United Kingdom","",165221,0,26097,2020-04-29
"443","United Kingdom","Anguilla",3,3,0,2020-04-30
"444","United Kingdom","Bermuda",114,48,6,2020-04-30
"445","United Kingdom","British Virgin Islands",6,3,1,2020-04-30
"446","United Kingdom","Cayman Islands",73,10,1,2020-04-30
"447","United Kingdom","Channel Islands",537,386,40,2020-04-30
"448","United Kingdom","Falkland Islands (Malvinas)",13,11,0,2020-04-30
"449","United Kingdom","Gibraltar",144,131,0,2020-04-30
"450","United Kingdom","Isle of Man",315,260,21,2020-04-30
"451","United Kingdom","Montserrat",11,2,1,2020-04-30
"452","United Kingdom","Turks and Caicos Islands",12,5,1,2020-04-30
"453","Germany","",163009,123500,6623,2020-04-30
"454","Italy","",205463,75945,27967,2020-04-30
"455","Switzerland","",29586,23400,1737,2020-04-30
"456","United Kingdom","",171253,0,26771,2020-04-30
"457","Italy","Abruzzo",3356,2773,470,2020-07-24
"458","United Kingdom","Anguilla",3,3,0,2020-07-24
"459","Germany","Baden-Wurttemberg",36828,34260,1841,2020-07-24
"460","Italy","Basilicata",447,373,28,2020-07-24
"461","Germany","Bayern",50127,46600,2619,2020-07-24
"462","Germany","Berlin",8956,8418,223,2020-07-24
"463","United Kingdom","Bermuda",153,139,9,2020-07-24
"464","Germany","Brandenburg",3544,3300,173,2020-07-24
"465","Germany","Bremen",1745,1635,55,2020-07-24
"466","United Kingdom","British Virgin Islands",8,7,1,2020-07-24
"467","Italy","Calabria",1246,1071,97,2020-07-24
"468","Italy","Campania",4880,4114,434,2020-07-24
"469","United Kingdom","Cayman Islands",203,202,1,2020-07-24
"470","United Kingdom","Channel Islands",584,533,47,2020-07-24
"471","Italy","Emilia-Romagna",29413,23758,4283,2020-07-24
